<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.05.29	11:30:00	3283.40	3284.25	3278.29	3280.49	1659	0	0
2025.05.29	11:45:00	3280.48	3282.20	3279.66	3281.75	1385	0	5
2025.05.29	12:00:00	3281.75	3282.27	3278.89	3279.43	1249	0	5
2025.05.29	12:15:00	3279.43	3280.26	3276.27	3278.60	1530	0	5
2025.05.29	12:30:00	3278.62	3283.28	3278.14	3281.87	1392	0	5
2025.05.29	12:45:00	3281.87	3282.20	3279.76	3282.11	1458	0	5
2025.05.29	13:00:00	3282.11	3289.13	3281.99	3288.80	1976	0	5
2025.05.29	13:15:00	3288.79	3299.51	3288.73	3298.41	2491	0	3
2025.05.29	13:30:00	3298.39	3299.44	3296.57	3297.14	1868	0	5
2025.05.29	13:45:00	3297.14	3300.79	3295.55	3296.77	1786	0	5
2025.05.29	14:00:00	3296.77	3299.91	3296.14	3296.83	1885	0	5
2025.05.29	14:15:00	3296.83	3302.46	3295.46	3302.29	1683	0	5
2025.05.29	14:30:00	3302.26	3304.73	3299.00	3301.44	2162	0	5
2025.05.29	14:45:00	3301.44	3305.50	3299.36	3299.78	1900	0	5
2025.05.29	15:00:00	3299.80	3304.84	3298.71	3304.46	2680	0	6
2025.05.29	15:15:00	3304.49	3311.37	3304.45	3309.60	2980	0	5
2025.05.29	15:30:00	3309.60	3314.83	3309.60	3313.69	3213	0	6
2025.05.29	15:45:00	3313.70	3317.56	3309.93	3316.50	2974	0	0
2025.05.29	16:00:00	3316.52	3318.56	3310.45	3311.06	3318	0	3
2025.05.29	16:15:00	3311.05	3319.13	3310.35	3319.08	2824	0	5
2025.05.29	16:30:00	3319.08	3321.94	3312.32	3312.78	3690	0	0
2025.05.29	16:45:00	3312.75	3320.32	3311.77	3312.67	3395	0	5
2025.05.29	17:00:00	3312.67	3319.42	3309.97	3317.55	3146	0	5
2025.05.29	17:15:00	3317.55	3318.02	3310.10	3310.95	2842	0	0
2025.05.29	17:30:00	3310.91	3312.51	3304.85	3308.03	2932	0	4
2025.05.29	17:45:00	3308.04	3313.95	3307.84	3310.33	2540	0	3
2025.05.29	18:00:00	3310.33	3317.64	3309.82	3316.28	2329	0	5
2025.05.29	18:15:00	3316.28	3317.60	3314.76	3316.34	1751	0	5
2025.05.29	18:30:00	3316.34	3318.18	3314.90	3317.04	1583	0	5
2025.05.29	18:45:00	3317.04	3322.01	3316.83	3321.03	2054	0	5
2025.05.29	19:00:00	3321.15	3329.59	3319.82	3329.56	2739	0	6
2025.05.29	19:15:00	3329.58	3331.23	3324.77	3326.07	2037	0	5
2025.05.29	19:30:00	3326.07	3327.31	3324.73	3326.15	1541	0	5
2025.05.29	19:45:00	3326.12	3326.92	3321.64	3322.30	1824	0	6
2025.05.29	20:00:00	3322.30	3323.44	3320.07	3321.96	1983	0	6
2025.05.29	20:15:00	3321.96	3322.37	3318.80	3319.01	1683	0	5
2025.05.29	20:30:00	3319.00	3323.11	3318.20	3323.04	1735	0	5
2025.05.29	20:45:00	3323.04	3324.46	3321.57	3324.26	1414	0	5
2025.05.29	21:00:00	3324.26	3325.82	3319.88	3321.53	1636	0	5
2025.05.29	21:15:00	3321.53	3321.87	3317.66	3319.08	1545	0	5
2025.05.29	21:30:00	3319.08	3321.23	3318.28	3321.18	1430	0	5
2025.05.29	21:45:00	3321.18	3321.62	3320.05	3321.35	1268	0	5
2025.05.29	22:00:00	3321.35	3321.54	3318.67	3319.53	1224	0	5
2025.05.29	22:15:00	3319.53	3319.67	3317.13	3319.19	1265	0	5
2025.05.29	22:30:00	3319.19	3319.31	3315.55	3316.33	1363	0	5
2025.05.29	22:45:00	3316.33	3317.51	3315.62	3316.64	1286	0	5
2025.05.29	23:00:00	3316.67	3317.39	3315.56	3316.24	655	0	5
2025.05.29	23:15:00	3316.24	3317.74	3315.33	3317.74	588	0	5
2025.05.29	23:30:00	3317.74	3318.03	3315.76	3316.62	426	0	5
2025.05.29	23:45:00	3316.62	3318.22	3316.09	3317.56	440	0	40
2025.05.30	01:00:00	3318.59	3320.96	3315.98	3316.60	553	0	5
2025.05.30	01:15:00	3316.60	3317.96	3316.30	3317.63	480	0	5
2025.05.30	01:30:00	3317.63	3317.96	3314.84	3316.68	775	0	5
2025.05.30	01:45:00	3316.68	3317.98	3313.58	3314.38	895	0	5
2025.05.30	02:00:00	3314.38	3315.97	3313.59	3314.70	784	0	5
2025.05.30	02:15:00	3314.65	3317.38	3313.66	3315.73	717	0	5
2025.05.30	02:30:00	3315.78	3316.42	3312.95	3314.31	883	0	5
2025.05.30	02:45:00	3314.31	3316.03	3313.82	3315.56	855	0	5
2025.05.30	03:00:00	3315.56	3318.90	3313.62	3314.32	1385	0	5
2025.05.30	03:15:00	3314.37	3314.80	3312.13	3313.49	1122	0	5
2025.05.30	03:30:00	3313.46	3313.76	3310.47	3313.38	1341	0	5
2025.05.30	03:45:00	3313.30	3314.21	3309.64	3312.57	1508	0	5
2025.05.30	04:00:00	3312.57	3318.47	3311.71	3316.30	2182	0	5
